"","gs","cs_range","ccount","cs","ds"
"1853",0.66,62.5,0.845098040014257,64,0.26602176541717
"1854",0.66,62.5,1.64345267648619,63,0.26602176541717
"1855",0.66,62.5,1.47712125471966,60,0.26602176541717
"1856",0.65,62.5,1.47712125471966,63,0.483675937122128
"1857",0.65,62.5,1.30102999566398,60,0.483675937122128
"1858",0.65,62.5,1.36172783601759,60,0.483675937122128
"1859",0.65,62.5,1.54406804435028,60,0.483675937122128
"1860",0.65,62.5,1.74036268949424,63,0.483675937122128
"1861",0.65,62.5,0.903089986991944,64,0.483675937122128
"1862",0.65,62.5,0.698970004336019,64,0.483675937122128
"1863",0.64,62.5,1.49136169383427,64,0.483675937122128
"1864",0.64,62.5,1.20411998265592,60,0.483675937122128
"1865",0.64,62.5,1.57978359661681,64,0.483675937122128
"1866",0.64,62.5,1.57978359661681,60,0.483675937122128
"1867",0.64,62.5,1.5910646070265,61,0.483675937122128
"1868",0.64,62.5,1.56820172406699,61,0.483675937122128
"1869",0.64,62.5,1.25527250510331,64,0.483675937122128
"1870",0.64,62.5,1.39794000867204,63,0.483675937122128
"1871",0.63,62.5,1.65321251377534,60,0.483675937122128
"1872",0.63,62.5,0.845098040014257,62,0.483675937122128
"1873",0.63,62.5,1,62,0.483675937122128
"1874",0.61,62.5,1.46239799789896,64,0.483675937122128
"1875",0.61,62.5,1.27875360095283,62,0.483675937122128
"1876",0.6,62.5,1.74036268949424,64,0.435308343409915
"1877",0.6,62.5,1.39794000867204,62,0.435308343409915
"1878",0.6,62.5,1.72427586960079,60,0.435308343409915
"1879",0.6,62.5,0.954242509439325,61,0.435308343409915
"1880",0.6,62.5,1,63,0.435308343409915
"1881",0.6,62.5,1.44715803134222,60,0.435308343409915
"1882",0.59,62.5,0.903089986991944,62,0.435308343409915
"1883",0.59,62.5,1.04139268515823,62,0.435308343409915
"1884",0.59,62.5,1.57978359661681,60,0.435308343409915
"1885",0.57,62.5,1.50514997831991,63,0.435308343409915
"1886",0.57,62.5,1.68124123737559,62,0.435308343409915
"1887",0.57,62.5,1.39794000867204,60,0.435308343409915
"1888",0.57,62.5,1.43136376415899,60,0.435308343409915
"1889",0.57,62.5,1.78532983501077,63,0.435308343409915
"1890",0.56,62.5,0.778151250383644,62,0.435308343409915
"1891",0.56,62.5,1.04139268515823,64,0.435308343409915
"1892",0.56,62.5,0.954242509439325,63,0.435308343409915
"1893",0.56,62.5,1.61278385671974,64,0.435308343409915
"1894",0.55,62.5,1.63346845557959,63,0.241837968561064
"1895",0.53,62.5,0.698970004336019,62,0.241837968561064
"1896",0.53,62.5,1.57978359661681,62,0.241837968561064
"1897",0.53,62.5,1.41497334797082,63,0.241837968561064
"1898",0.53,62.5,1.07918124604762,61,0.241837968561064
"1899",0.53,62.5,0.903089986991944,60,0.241837968561064
"1900",0.52,62.5,1.51851393987789,61,0.241837968561064
"1901",0.51,62.5,0.954242509439325,64,0.241837968561064
"1902",0.51,62.5,0.602059991327962,62,0.241837968561064
"1903",0.51,62.5,1.41497334797082,62,0.241837968561064
"1904",0.5,62.5,1.20411998265592,62,0.483675937122128
"1905",0.5,62.5,1,60,0.483675937122128
"1906",0.5,62.5,1.49136169383427,63,0.483675937122128
"1907",0.5,62.5,1.6232492903979,64,0.483675937122128
"1908",0.49,62.5,1.66275783168157,61,0.483675937122128
"1909",0.49,62.5,1.39794000867204,64,0.483675937122128
"1910",0.49,62.5,1.74036268949424,61,0.483675937122128
"1911",0.49,62.5,1.07918124604762,61,0.483675937122128
"1912",0.48,62.5,0.602059991327962,62,0.483675937122128
"1913",0.47,62.5,1.27875360095283,61,0.483675937122128
"1914",0.47,62.5,1.46239799789896,60,0.483675937122128
"1915",0.47,62.5,1.81954393554187,62,0.483675937122128
"1916",0.47,62.5,1.6232492903979,60,0.483675937122128
"1917",0.47,62.5,1.39794000867204,64,0.483675937122128
"1918",0.47,62.5,1.27875360095283,62,0.483675937122128
"1919",0.46,62.5,0.602059991327962,62,0.483675937122128
"1920",0.46,62.5,0.698970004336019,64,0.483675937122128
"1921",0.46,62.5,1.61278385671974,61,0.483675937122128
"1922",0.46,62.5,1.61278385671974,64,0.483675937122128
"1923",0.46,62.5,1.04139268515823,63,0.483675937122128
"1924",0.45,62.5,1.36172783601759,63,0.411124546553809
"1925",0.45,62.5,1.43136376415899,61,0.411124546553809
"1926",0.44,62.5,1.61278385671974,64,0.411124546553809
"1927",0.44,62.5,0.602059991327962,63,0.411124546553809
"1928",0.43,62.5,0.602059991327962,60,0.411124546553809
"1929",0.43,62.5,1.69019608002851,62,0.411124546553809
"1930",0.43,62.5,0.954242509439325,64,0.411124546553809
"1931",0.43,62.5,1.69019608002851,64,0.411124546553809
"1932",0.42,62.5,1.27875360095283,64,0.411124546553809
"1933",0.42,62.5,1.57978359661681,61,0.411124546553809
"1934",0.42,62.5,1.34242268082221,64,0.411124546553809
"1935",0.42,62.5,1.32221929473392,60,0.411124546553809
"1936",0.42,62.5,0.698970004336019,61,0.411124546553809
"1937",0.41,62.5,0.602059991327962,61,0.411124546553809
"1938",0.41,62.5,1.27875360095283,62,0.411124546553809
"1939",0.41,62.5,0.903089986991944,63,0.411124546553809
"1940",0.41,62.5,1.79934054945358,60,0.411124546553809
"1941",0.4,62.5,1,62,0.532043530834341
"1942",0.4,62.5,1.36172783601759,60,0.532043530834341
"1943",0.4,62.5,1.04139268515823,61,0.532043530834341
"1944",0.4,62.5,1.36172783601759,61,0.532043530834341
"1945",0.39,62.5,0.602059991327962,61,0.532043530834341
"1946",0.39,62.5,0.698970004336019,62,0.532043530834341
"1947",0.39,62.5,1.83250891270624,63,0.532043530834341
"1948",0.39,62.5,1.80617997398389,63,0.532043530834341
"1949",0.39,62.5,1.11394335230684,62,0.532043530834341
"1950",0.39,62.5,1.04139268515823,64,0.532043530834341
"1951",0.39,62.5,1.47712125471966,61,0.532043530834341
"1952",0.38,62.5,0.845098040014257,60,0.532043530834341
"1953",0.38,62.5,0.954242509439325,60,0.532043530834341
"1954",0.38,62.5,1.36172783601759,63,0.532043530834341
"1955",0.38,62.5,1.34242268082221,61,0.532043530834341
"1956",0.37,62.5,0.602059991327962,63,0.532043530834341
"1957",0.37,62.5,1.17609125905568,62,0.532043530834341
"1958",0.37,62.5,1.78532983501077,62,0.532043530834341
"1959",0.36,62.5,1.54406804435028,60,0.532043530834341
"1960",0.36,62.5,1.07918124604762,60,0.532043530834341
"1961",0.36,62.5,0.698970004336019,63,0.532043530834341
"1962",0.36,62.5,1.23044892137827,60,0.532043530834341
"1963",0.35,62.5,1.30102999566398,63,0.822249093107618
"1964",0.35,62.5,1.32221929473392,63,0.822249093107618
"1965",0.35,62.5,1.07918124604762,63,0.822249093107618
"1966",0.35,62.5,1.47712125471966,60,0.822249093107618
"1967",0.35,62.5,1.32221929473392,61,0.822249093107618
"1968",0.34,62.5,1.36172783601759,62,0.822249093107618
"1969",0.34,62.5,1,61,0.822249093107618
"1970",0.34,62.5,1.64345267648619,60,0.822249093107618
"1971",0.34,62.5,1.34242268082221,62,0.822249093107618
"1972",0.34,62.5,1.5910646070265,60,0.822249093107618
"1973",0.34,62.5,1.56820172406699,61,0.822249093107618
"1974",0.33,62.5,0.954242509439325,64,0.822249093107618
"1975",0.33,62.5,1.77815125038364,63,0.822249093107618
"1976",0.33,62.5,0.954242509439325,62,0.822249093107618
"1977",0.33,62.5,1.20411998265592,62,0.822249093107618
"1978",0.33,62.5,0.602059991327962,60,0.822249093107618
"1979",0.33,62.5,1.50514997831991,61,0.822249093107618
"1980",0.33,62.5,0.602059991327962,62,0.822249093107618
"1981",0.33,62.5,1.04139268515823,63,0.822249093107618
"1982",0.33,62.5,0.903089986991944,60,0.822249093107618
"1983",0.32,62.5,1.56820172406699,63,0.822249093107618
"1984",0.32,62.5,1.17609125905568,64,0.822249093107618
"1985",0.32,62.5,1.14612803567824,60,0.822249093107618
"1986",0.32,62.5,1.68124123737559,63,0.822249093107618
"1987",0.32,62.5,0.698970004336019,63,0.822249093107618
"1988",0.32,62.5,1.04139268515823,64,0.822249093107618
"1989",0.32,62.5,1.66275783168157,63,0.822249093107618
"1990",0.32,62.5,1.11394335230684,63,0.822249093107618
"1991",0.32,62.5,1.43136376415899,61,0.822249093107618
"1992",0.31,62.5,1.57978359661681,64,0.822249093107618
"1993",0.31,62.5,1.51851393987789,61,0.822249093107618
"1994",0.31,62.5,1.20411998265592,63,0.822249093107618
"1995",0.31,62.5,1.54406804435028,62,0.822249093107618
"1996",0.31,62.5,0.698970004336019,60,0.822249093107618
"1997",0.3,62.5,0.602059991327962,62,1.11245465538089
"1998",0.3,62.5,1.38021124171161,62,1.11245465538089
"1999",0.3,62.5,1.25527250510331,61,1.11245465538089
"2000",0.3,62.5,1.72427586960079,62,1.11245465538089
"2001",0.3,62.5,0.602059991327962,63,1.11245465538089
"2002",0.3,62.5,1.11394335230684,61,1.11245465538089
"2003",0.3,62.5,0.778151250383644,63,1.11245465538089
"2004",0.3,62.5,1.11394335230684,62,1.11245465538089
"2005",0.3,62.5,1.6232492903979,60,1.11245465538089
"2006",0.3,62.5,0.954242509439325,64,1.11245465538089
"2007",0.29,62.5,1.70757017609794,60,1.11245465538089
"2008",0.29,62.5,1.25527250510331,61,1.11245465538089
"2009",0.29,62.5,1.70757017609794,62,1.11245465538089
"2010",0.29,62.5,1.54406804435028,64,1.11245465538089
"2011",0.29,62.5,0.954242509439325,60,1.11245465538089
"2012",0.29,62.5,1.43136376415899,64,1.11245465538089
"2013",0.29,62.5,1.23044892137827,60,1.11245465538089
"2014",0.29,62.5,1.04139268515823,60,1.11245465538089
"2015",0.29,62.5,1.7481880270062,61,1.11245465538089
"2016",0.29,62.5,0.602059991327962,60,1.11245465538089
"2017",0.29,62.5,1.47712125471966,61,1.11245465538089
"2018",0.29,62.5,1.11394335230684,62,1.11245465538089
"2019",0.28,62.5,1,61,1.11245465538089
"2020",0.28,62.5,1.84509804001426,61,1.11245465538089
"2021",0.28,62.5,1.47712125471966,64,1.11245465538089
"2022",0.28,62.5,1.64345267648619,60,1.11245465538089
"2023",0.28,62.5,1.61278385671974,61,1.11245465538089
"2024",0.28,62.5,1.63346845557959,60,1.11245465538089
"2025",0.27,62.5,0.778151250383644,64,1.11245465538089
"2026",0.27,62.5,1.75587485567249,61,1.11245465538089
"2027",0.27,62.5,1.51851393987789,64,1.11245465538089
"2028",0.27,62.5,1.32221929473392,60,1.11245465538089
"2029",0.27,62.5,1.23044892137827,62,1.11245465538089
"2030",0.27,62.5,1.41497334797082,60,1.11245465538089
"2031",0.27,62.5,1.20411998265592,62,1.11245465538089
"2032",0.27,62.5,1.23044892137827,61,1.11245465538089
"2033",0.27,62.5,1.07918124604762,62,1.11245465538089
"2034",0.27,62.5,1.66275783168157,62,1.11245465538089
"2035",0.27,62.5,1.38021124171161,63,1.11245465538089
"2036",0.26,62.5,1.34242268082221,63,1.11245465538089
"2037",0.26,62.5,1.04139268515823,64,1.11245465538089
"2038",0.26,62.5,1.11394335230684,63,1.11245465538089
"2039",0.26,62.5,0.698970004336019,61,1.11245465538089
"2040",0.26,62.5,1.65321251377534,64,1.11245465538089
"2041",0.26,62.5,0.845098040014257,64,1.11245465538089
"2042",0.26,62.5,1.04139268515823,63,1.11245465538089
"2043",0.25,62.5,1.23044892137827,64,1.71704957678355
"2044",0.25,62.5,1.41497334797082,62,1.71704957678355
"2045",0.25,62.5,1.46239799789896,64,1.71704957678355
"2046",0.25,62.5,0.778151250383644,64,1.71704957678355
"2047",0.25,62.5,0.698970004336019,64,1.71704957678355
"2048",0.25,62.5,1.36172783601759,62,1.71704957678355
"2049",0.25,62.5,1.30102999566398,63,1.71704957678355
"2050",0.25,62.5,1,63,1.71704957678355
"2051",0.25,62.5,1.43136376415899,64,1.71704957678355
"2052",0.25,62.5,0.778151250383644,63,1.71704957678355
"2053",0.25,62.5,0.845098040014257,62,1.71704957678355
"2054",0.25,62.5,1.50514997831991,63,1.71704957678355
"2055",0.25,62.5,1.11394335230684,64,1.71704957678355
"2056",0.24,62.5,1.30102999566398,63,1.71704957678355
"2057",0.24,62.5,1.30102999566398,63,1.71704957678355
"2058",0.24,62.5,0.602059991327962,64,1.71704957678355
"2059",0.24,62.5,1.07918124604762,60,1.71704957678355
"2060",0.24,62.5,1.20411998265592,60,1.71704957678355
"2061",0.24,62.5,1.50514997831991,61,1.71704957678355
"2062",0.24,62.5,0.845098040014257,64,1.71704957678355
"2063",0.24,62.5,0.954242509439325,61,1.71704957678355
"2064",0.24,62.5,1.54406804435028,63,1.71704957678355
"2065",0.24,62.5,1.30102999566398,63,1.71704957678355
"2066",0.24,62.5,1.23044892137827,62,1.71704957678355
"2067",0.24,62.5,1.38021124171161,63,1.71704957678355
"2068",0.24,62.5,0.602059991327962,62,1.71704957678355
"2069",0.24,62.5,1.43136376415899,61,1.71704957678355
"2070",0.24,62.5,1.56820172406699,62,1.71704957678355
"2071",0.23,62.5,1,63,1.71704957678355
"2072",0.23,62.5,1.25527250510331,62,1.71704957678355
"2073",0.23,62.5,1.30102999566398,63,1.71704957678355
"2074",0.23,62.5,1.54406804435028,64,1.71704957678355
"2075",0.23,62.5,0.602059991327962,61,1.71704957678355
"2076",0.23,62.5,0.602059991327962,63,1.71704957678355
"2077",0.23,62.5,1.41497334797082,61,1.71704957678355
"2078",0.23,62.5,1.17609125905568,61,1.71704957678355
"2079",0.23,62.5,1.20411998265592,63,1.71704957678355
"2080",0.23,62.5,1.14612803567824,62,1.71704957678355
"2081",0.23,62.5,1.34242268082221,62,1.71704957678355
"2082",0.23,62.5,1.41497334797082,61,1.71704957678355
"2083",0.23,62.5,1.5910646070265,64,1.71704957678355
"2084",0.23,62.5,1.14612803567824,64,1.71704957678355
"2085",0.22,62.5,1.60205999132796,60,1.71704957678355
"2086",0.22,62.5,1.07918124604762,61,1.71704957678355
"2087",0.22,62.5,1.17609125905568,61,1.71704957678355
"2088",0.22,62.5,0.698970004336019,61,1.71704957678355
"2089",0.22,62.5,1.11394335230684,61,1.71704957678355
"2090",0.22,62.5,0.845098040014257,60,1.71704957678355
"2091",0.22,62.5,0.954242509439325,61,1.71704957678355
"2092",0.22,62.5,1.11394335230684,61,1.71704957678355
"2093",0.22,62.5,1.07918124604762,60,1.71704957678355
"2094",0.22,62.5,1.20411998265592,60,1.71704957678355
"2095",0.22,62.5,1.04139268515823,62,1.71704957678355
"2096",0.22,62.5,1.11394335230684,63,1.71704957678355
"2097",0.22,62.5,1.77085201164214,61,1.71704957678355
"2098",0.22,62.5,1.07918124604762,63,1.71704957678355
"2099",0.21,62.5,1.36172783601759,60,1.71704957678355
"2100",0.21,62.5,1.23044892137827,63,1.71704957678355
"2101",0.21,62.5,1.11394335230684,64,1.71704957678355
"2102",0.21,62.5,0.903089986991944,61,1.71704957678355
"2103",0.21,62.5,1.23044892137827,60,1.71704957678355
