,gs,cs_range,ccount,bias,0
47,0.15,37.5,1.07918124604762,1,3.3844266
48,0.15,37.5,1.1760912590556798,1,3.3881965
49,0.15,37.5,1.43136376415899,1,3.3980618
50,0.14,37.5,1.6020599913279598,1,3.6356277
51,0.14,37.5,1.38021124171161,1,3.626865
52,0.14,37.5,1.5440680443502801,1,3.633347
53,0.14,37.5,0.6020599913279621,1,3.595365
54,0.14,37.5,1.0,1,3.6116128
55,0.14,37.5,0.6020599913279621,1,3.595365
56,0.14,37.5,1.04139268515823,1,3.6132865
57,0.14,37.5,1.23044892137827,1,3.6208906
58,0.13,37.5,1.11394335230684,1,3.8475385
59,0.13,37.5,0.7781512503836441,1,3.8336334
60,0.13,37.5,1.76342799356294,1,3.8736186
61,0.13,37.5,1.5910646070265002,1,3.8668084
62,0.13,37.5,1.5185139398778897,1,3.8639169
63,0.13,37.5,0.9030899869919442,1,3.838838
64,0.12,37.5,1.07918124604762,1,4.0754313
65,0.12,37.5,1.25527250510331,1,4.0826335
66,0.12,37.5,1.30102999566398,1,4.0844893
67,0.12,37.5,1.14612803567824,1,4.0781813
68,0.12,37.5,0.6020599913279621,1,4.055454
69,0.11,37.5,0.698970004336019,1,4.284284
70,0.11,37.5,0.8450980400142571,1,4.2903647
71,0.11,37.5,0.7781512503836441,1,4.287588
72,0.11,37.5,0.6020599913279621,1,4.280211
73,0.11,37.5,1.30102999566398,1,4.3088574
74,0.11,37.5,0.698970004336019,1,4.284284
75,0.11,37.5,1.14612803567824,1,4.3026576
76,0.11,37.5,1.4623979978989599,1,4.315223
77,0.1,37.5,1.5051499783199098,1,4.5334153
78,0.1,37.5,0.698970004336019,1,4.501878
79,0.1,37.5,0.7781512503836441,1,4.50509
80,0.1,37.5,1.0,1,4.5139594
81,0.1,37.5,1.04139268515823,1,4.515593
82,0.09,37.5,1.34242268082221,1,4.734222
83,0.09,37.5,1.5910646070265002,1,4.743052
84,0.09,37.5,1.55630250076729,1,4.741834
85,0.09,37.5,0.6020599913279621,1,4.706299
86,0.09,37.5,0.8450980400142571,1,4.7157307
87,0.08,37.5,0.698970004336019,1,4.9070916
88,0.08,37.5,1.25527250510331,1,4.9266653
89,0.08,37.5,0.9030899869919442,1,4.9144425
90,0.08,37.5,0.6020599913279621,1,4.903533
91,0.08,37.5,1.3617278360175902,1,4.9302435
92,0.08,37.5,1.3617278360175902,1,4.9302435
93,0.08,37.5,0.8450980400142571,1,4.912374
94,0.07,37.5,0.8450980400142571,1,5.096379
95,0.07,37.5,1.25527250510331,1,5.109436
96,0.07,37.5,1.14612803567824,1,5.106044
97,0.07,37.5,1.27875360095283,1,5.110158
98,0.07,37.5,1.5910646070265002,1,5.119504
99,0.07,37.5,0.698970004336019,1,5.091526
100,0.07,37.5,0.7781512503836441,1,5.094169
101,0.06,37.5,1.11394335230684,1,5.2746353
102,0.06,37.5,1.14612803567824,1,5.2755384
103,0.06,37.5,0.8450980400142571,1,5.266885
104,0.06,37.5,0.698970004336019,1,5.262519
105,0.06,37.5,0.8450980400142571,1,5.266885
